schism_boundary,boundary_kind,source_kind,derived,source_file,var,sign,convert,rhistinterp_p,formula,note,
coyote,flow,SCHISM,,,,,,,,,coyote
ccc_rock,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//D_RSL004_CCC004/DIVERSION//1MON/L2020A/,1,CFS_CMS,2,,,ccc rs
ccc_old,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//D_OMR021_ORP000/DIVERSION//1MON/L2020A/,1,CFS_CMS,2,,,cccold
swp,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_CAA003/CHANNEL//1MON/L2020A/,1,CFS_CMS,15,,,swp
cvp,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_DMC003/CHANNEL//1MON/L2020A/,1,CFS_CMS,15,,,cvp
sjr,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_SJR070/CHANNEL//1MON/L2020A/,-1,CFS_CMS,2,,,sjr
calaveras,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_CLV004/CHANNEL//1MON/L2020A/,-1,CFS_CMS,2,,,cal
east,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_MOK019/CHANNEL//1MON/L2020A/,-1,CFS_CMS,2,,,east
american,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_AMR004/CHANNEL//1MON/L2020A/,-1,CFS_CMS,2,,,amer
sac,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//C_SAC063/CHANNEL//1MON/L2020A/,-1,CFS_CMS,2,,,sac
yolo_toedrain,flow,SCHISM,,,,,,,,,yolo td
yolo,flow,CONSTANT,,,-0.001,,,,,,yolo
northbay,flow,DSS,,calsim/DCR2023_DV_9.0.0_Danube_Adj_v1.2.dss,//D_BKR004_NBA009/DIVERSION//1MON/L2020A/,1,CFS_CMS,2,,,nb
napa,flow,SCHISM,,,,,,,,,napa
ccc_victoria,flow,CSV,,data/monthly_csv_example.csv,CHVCT001,1,CFS_CMS,2,,,ccc vic
sjr,ec,DSS,,dsm2/forecast.dss,//RSAN112/EC//1HOUR/TEST_FPART/,1,EC_PSU,,,,dcp 5
sac,ec,CONSTANT,,,0.07,,,,Approx 150 uS at 25C,,
yolo_toedrain,ec,CONSTANT,,,0.315,,,,Approx 650 uS at 25C,,
yolo,ec,CONSTANT,,,0.07,,,,Approx 150 uS at 25C,,
coyote,temp,SCHISM,,,,,,,,,
sjr,temp,SCHISM,,,,,,,,,
calaveras,temp,SCHISM,,,,,,,,,
east,temp,SCHISM,,,,,,,,,
american,temp,SCHISM,,,,,,,,,
sac,temp,SCHISM,,,,,,,,,
yolo_toedrain,temp,SCHISM,,,,,,,,,
yolo,temp,SCHISM,,,,,,,,,
napa,temp,SCHISM,,,,,,,,,
