schism_boundary,boundary_kind,source_kind,derived,source_file,var,sign,convert,rhistinterp_p,formula,note,
coyote,flow,SCHISM,,,,,,,,,coyote
ccc_rock,flow,CSV,,data/oco_forecast_mon.csv,CHCCC006,1,CFS_CMS,2,,,ccc rs
ccc_old,flow,CSV,,data/oco_forecast_mon.csv,ROLD034,1,CFS_CMS,2,,,cccold
swp,flow,CSV,,data/oco_forecast_mon.csv,CHSWP003,1,CFS_CMS,2,,,swp
cvp,flow,CSV,,data/oco_forecast_mon.csv,CHDMC004,1,CFS_CMS,2,,,cvp
sjr,flow,CSV,,data/oco_forecast_mon.csv,RSAN112,-1,CFS_CMS,2,,,sjr
calaveras,flow,CSV,,data/oco_forecast_mon.csv,RCAL009,-1,CFS_CMS,2,,,cal
east,flow,CSV,TRUE,data/oco_forecast_mon.csv,RCSM075;RMKL070,-1,CFS_CMS,2,(csv.RCSM075+csv.RMKL070),,east
american,flow,CSV,TRUE,data/oco_forecast_mon.csv,RSAC155,-1,CFS_CMS,2,(flux.american/(flux.sac+flux.american)).mul(csv.RSAC155),,amer
sac,flow,CSV,TRUE,data/oco_forecast_mon.csv,RSAC155,-1,CFS_CMS,2,(flux.sac/(flux.sac+flux.american)).mul(csv.RSAC155),,sac
yolo_toedrain,flow,SCHISM,,,,,,,,,yolo td
yolo,flow,CONSTANT,,,-0.001,,,,,,yolo
northbay,flow,CSV,,data/oco_forecast_mon.csv,SLBAR002,1,CFS_CMS,2,,,nb
napa,flow,SCHISM,,,,,,,,,napa
ccc_victoria,flow,CSV,,data/oco_forecast_mon.csv,CHVCT001,1,CFS_CMS,2,,,ccc vic
sjr,ec,SCHISM,,,,,,,,,
sac,ec,SCHISM,,,,,,,,,
yolo_toedrain,ec,SCHISM,,,,,,,,,
yolo,ec,SCHISM,,,,,,,,,
coyote,temp,SCHISM,,,,,,,,,
sjr,temp,SCHISM,,,,,,,,,
calaveras,temp,SCHISM,,,,,,,,,
east,temp,SCHISM,,,,,,,,,
american,temp,SCHISM,,,,,,,,,
sac,temp,SCHISM,,,,,,,,,
yolo_toedrain,temp,SCHISM,,,,,,,,,
yolo,temp,SCHISM,,,,,,,,,
napa,temp,SCHISM,,,,,,,,,
